GLON(DEG),VLSR(km/s),VLSR(km/s),VLSR(km/s),VLSR(km/s),VLSR(km/s),VLSR(km/s)
96,-4.18,,-41.17,,,114.85
97,-5.29,,-41.21,,,114.15
98,-4.02,,-41.33,,,113.55
99,-4.4,,-41.58,,,113.11
100,-4.01,-37.15,-41.58,-52.8,,112.77
101,-3.86,-35.94,-43.91,-53.08,,112.29
102,-3.3,-37.08,-44.55,-53.39,-92.8,111.48
103,-2.71,,-46.85,,-93.52,110.92
104,-3.51,,-46.98,,-93.27,110.15
105,-3.8,,-47.82,,93.89,109.64
106,-4.45,,-48.91,,,108.88
107,-4.67,,-49.77,,,108.33
108,-4.87,,-49.33,,,107.04
109,-5.16,,-48.97,,-94.39,106.57
110,-5.43,,-48.09,,-95.31,105.86
111,-5.93,,-47.68,,,105.17
112,-6.59,,-47.13,,,104.32
113,-6.94,,-46.7,,,103.51
114,-7.18,,-47.09,,,102.89
115,-6.7,,-47.47,,,102.51
116,-7.03,,-48.05,,,102.05
117,-7.21,,-48.72,,,101.22
118,-6.97,,-48.48,,,
119,-7.49,,-48.79,,,
120,-8.15,,-49.93,,,
121,-9.4,,-51.49,,,
122,-10.3,,-52.64,,-95.8,98.45
123,-10.35,,-50.47,,-96.85,97.81
124,-10.09,,-49.11,,-97.21,97.08
125,-9.46,,-49.24,,-97.54,96.38
126,-9.73,,-49.71,,-97.1,95.65
127,-9.83,,-50.12,,-97.57,94.91
128,-10.1,,-49.5,,-98.12,93.6
129,-10.27,,-49.85,,-97.29,93.12
130,-11.02,,-49.35,,-96.77,92.74
131,-10.69,,-49.37,,-96.04,92.14
132,-10.51,,-49.27,,-97.24,91.56
133,-11.09,,-48.71,,-97.39,90.95
134,-10.35,,-47.65,,-97.11,
135,-9.85,,-46.16,,-96.99,
136,-10.41,,-45.27,,-94.74,
137,-10.88,,-44.55,,-93.47,
138,-9.2,,-40.97,,-92.3,
139,-9.98,,-40.65,,,
140,-10.35,,-40,,,
141,-10.97,,-39.71,,,
142,-4.67,-17.94,-38.07,,,
143,-4.16,-18.91,-36.21,,,
144,-4.06,-19.69,-34.77,,,
145,-5.62,,-33.21,,,
146,-4.84,,-33.35,,,
147,-5.13,,-33.48,,,
148,-5.5,,-30.24,,,80.08
149,-6.4,,-29.97,,,79.38
150,-6.27,,-29.45,,,78.95
151,-9.07,,-29.26,,,78.11
152,-12.39,,-28.87,,,77.38
153,-12.75,,-28.57,,,
154,-13.61,,-27.5,,,
155,-14.36,-23.7,-27.12,,,
156,-16.61,-24.19,-26.95,,,74.12
157,-15.92,-24.72,-26.32,,,73.72
158,-14.41,-24.96,-25.89,,,73.43
159,-13.16,-25.14,,,,72.89
160,-12.57,-24.64,,,,72.18
161,-11.31,-23.83,,,,71.54
162,,-23.14,,,,71.09
163,,-22.28,,,,
164,,-21.94,,,,
165,,-22.29,,,,
166,,-22.44,,,,
167,,-21.79,,,,
168,,-20.29,,,,
169,,-19.1,,,,
170,,-17.65,,,,
171,,-16.78,,,,
172,,-15.89,,,,63.58
173,,-14,,,,63.64
174,,-12.1,,,,63.32
175,,-11.23,,,,62.75
176,,-10.56,,,,62.15
177,,-9.28,,,,
178,,-8.63,,,,
179,,-7.19,,,,
180,,-6.59,,,,
181,,-5.15,,,,
182,,-4.36,,,,
183,,-3.82,,,,
184,,-2.65,,,,
185,,-1.63,,,,
186,,-0.33,,,,
187,,1.02,,,,
188,,1.62,,,,
189,,2.7,,,,
190,,2.97,,,,
191,,3.5,,,,
192,,5.76,,,,
193,,6.29,,,,
194,,7.25,,,,
195,,8.47,,,,
196,,9.87,,,,
197,,10.21,,,,
198,,11.35,,,,
199,,12,,,,
200,,12.69,,,,
201,18.58,15.2,9.12,,,
202,19.18,15.84,8.19,,,
203,19.32,16.32,7.29,,,
204,21.17,18.81,8.69,,,
205,24.71,20.5,8.79,,,
206,,21.75,,,,
207,,24.57,,,,
208,,25.26,,,,
209,36.67,25.25,11.75,,,
210,37.63,,13.08,,,
211,39.33,,15.55,,,
212,41.4,,12.71,,,
213,42.75,22.43,11.44,,,
214,43.3,23.78,9.04,,,
215,44.51,24.87,9.09,,,
216,45.94,25.46,9.37,,,
217,47.74,25.5,10.44,,,
218,49.9,23.53,,,,
219,50.12,22.8,,,,
220,50.08,22.76,,,,
221,51.55,21.79,,,,
222,53.15,18.67,,,,
223,54.47,17.34,,,,
224,56.1,16.32,38.32,,,
225,55.56,15.98,38.81,,,
226,58.65,16.39,38.78,,,
227,58.99,16.49,39.74,2.66,,
228,63.53,16.76,39.01,2.61,49.92,
229,67.96,17.58,38.88,3.23,48.72,
230,67.7,18.01,44.27,3.41,,
231,68.38,20.23,43.76,3.24,,
232,68.7,21.79,44.66,3.4,,
233,68.84,22.82,45.71,2.4,,
234,68.96,22.43,47.16,1.99,,
235,69.21,22.15,47.57,1.8,,
236,69.18,22.11,50.24,1.57,,
237,,21.62,55.06,0.84,,
238,,20.77,56.34,0.13,,
239,,20.36,57.08,-0.39,,
240,,19.38,61.48,-1.04,,
